"从,p,Hi39,塔身,n,-1,喷射,v,Id10,而,c,Aa03,在,p,Jd02,夜空,n,Cb07,中,f,Di02,竞相,d,Ka23",0
"自来水,n,Bg01,龙头,n,Bo25,喷涌,v,-1,而,c,Aa03,时,Ng,Ca30,乡亲,n,Ad03,们,k,Aa01,欣喜若狂,i,Ga01",0
"上,f,Hj63,长,a,Ih05,桥,n,Bn11,迭,Vg,Ka10,巨轮,n,Bo22,竞,Ag,Ed19,进,v,He03",0
"人物,n,Aa01,就,d,Kb04,跃然,v,Fb02,而,c,Aa03,胡须,n,Bk12,可,v,Ka01,多,a,Ih05,达,v,Je12",0
"不足,a,Dd02,酒,n,Br12,的,u,Bo29,香气,n,Ec07,不,d,Ie01,来,v,Ca03",0
"广告,n,Dk14,一,d,Ka16,商家,n,-1,云集,v,Ie10,这里,r,Cb30,现已,d,-1",0
"杲杲,n,Eb18,冬日,t,Bd02,照,v,Hh03,我,r,Aa05,屋,n,Bn01,南,f,Cb02",0
"小伙子,n,Ab03,一,m,Ka16,箭,n,Bo29,刚,d,Bf02,靶子,n,Bo29,周围,f,Cb06,响起,v,Ia08,喊声,n,Bg07",0
"日,q,Di02,的,u,Bo29,雨雪,n,-1,霏霏,z,-1,了,u,Ig01,太阳,n,Bg03",0
"冲开,v,Fd08,瓶盖,n,-1,喷涌,v,-1,而,c,Aa03,的,u,Bo29,香槟,n,-1,和,c,Hh04,大小,n,Ab02",0
"江山,n,Di02,代,v,Dn08,有,v,Jd07,才人,n,Af07,以,p,Di02,尹,nr,Dd15,丽丽,nr,-1,兰,nr,Bh02",0
"江山,n,Di02,代,v,Dn08,有,v,Jd07,才人,n,Af07",0
"法令,n,Di25,一,d,Ka16,顿,Dg,Hg11,起,v,Kd02,轩然大波,i,Da01",0
"是,v,Jd01,政策性,n,Dd01,利好,n,-1,频,Ag,Ka10",0
"娴熟,a,Ee22,地,u,Di09,流淌,v,Id11,而,c,Aa03,时,Ng,Ca30,听众,n,Aj06,将,d,Ae10,会,v,Hi05",0
"他,r,Aa04,提醒,v,Hg02,读者,n,Aa01,血点,n,-1,与,c,Je05,淤斑,n,Dl01,是,v,Jd01",0
"姑姑,n,Ah06,你,r,Aa03,来,v,Ca03,一下,m,Dn08,他们,r,Aa04,想,v,Gb06",1
"我,r,Aa05,去,v,Ca11,这些,r,Ed61,素不相识,i,Ed31,的,u,Bo29",1
"已,d,Ig02,久,a,Ea01,因此,c,Kc09,一,d,Ka16,内罗毕机场,ns,-1,我,r,Aa05,就,d,Kb04,找,v,Hj57",1
"后,f,Ai03,分钟,q,Ca30,内,f,Ah08,警车,n,Bo21,所,n,Di09,大门,n,Bn04,不,d,Ie01,让,v,Je04",1
"立即,d,Ka08,与,p,Je05,派出所,n,Dm02,联系,v,Ie02,警,Ng,Ae12,事宜,n,Da01,接,v,Hi05,报警,vn,Hi15",1
